종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
42940,상지건설,KOSDAQ,건설,12050,-150,-1.23,82285979600
42600,새로닉스,KOSDAQ,전기·전자,9150,180,2.01,1.13676E+11
107600,새빗켐,KOSDAQ,화학,34600,6100,21.4,1.948E+11
411080,샌즈랩,KOSDAQ,IT 서비스,8550,-110,-1.27,1.30538E+11
252990,샘씨엔에스,KOSDAQ,전기·전자,4705,15,0.32,2.74716E+11
378800,샤페론,KOSDAQ,제약,2640,-20,-0.75,79577601840
294630,서남,KOSDAQ,전기·전자,2890,-10,-0.34,69776446110
38070,서린바이오,KOSDAQ,유통,7200,20,0.28,65524867200
6730,서부T&D,KOSDAQ,일반서비스,9690,170,1.79,6.33987E+11
79650,서산,KOSDAQ,비금속,1724,11,0.64,34480000000
100660,서암기계공업,KOSDAQ,기계·장비,3565,25,0.71,44919000000
19770,서연탑메탈,KOSDAQ,기계·장비,3990,80,2.05,46483500000
43710,서울리거,KOSDAQ,유통,1078,16,1.51,93314385780
92190,서울바이오시스,KOSDAQ,전기·전자,3050,5,0.16,1.39899E+11
46890,서울반도체,KOSDAQ,전기·전자,7160,100,1.42,4.17467E+11
63170,서울옥션,KOSDAQ,유통,9110,60,0.66,1.61924E+11
27040,서울전자통신,KOSDAQ,전기·전자,249,0,0,17327622903
18680,서울제약,KOSDAQ,제약,3340,-15,-0.45,38942125460
36120,서울평가정보,KOSDAQ,IT 서비스,2305,-5,-0.22,81827500000
93920,서원인텍,KOSDAQ,전기·전자,5710,-20,-0.35,1.06206E+11
189860,서전기전,KOSDAQ,전기·전자,3670,10,0.27,35594522600
178320,서진시스템,KOSDAQ,전기·전자,22350,500,2.29,1.25714E+12
122690,서진오토모티브,KOSDAQ,운송장비·부품,2165,-20,-0.92,48413636905
140070,서플러스글로벌,KOSDAQ,유통,2455,30,1.24,90805540000
11370,서한,KOSDAQ,건설,893,-3,-0.33,90099114445
65710,서호전기,KOSDAQ,전기·전자,39000,50,0.13,2.0085E+11
35890,서희건설,KOSDAQ,건설,1751,-25,-1.41,4.02395E+11
357550,석경에이티,KOSDAQ,화학,54800,1400,2.62,2.98934E+11
3100,선광,KOSDAQ,운송·창고,19690,10,0.05,1.29954E+11
67370,선바이오,KOSDAQ,제약,7150,260,3.77,88041918250
217620,선샤인푸드,KOSDAQ,일반서비스,3810,0,0,26803681470
171090,선익시스템,KOSDAQ,기계·장비,40000,-150,-0.37,3.8234E+11
86710,선진뷰티사이언스,KOSDAQ,화학,11950,-90,-0.75,1.45829E+11
14620,성광벤드,KOSDAQ,금속,32550,-800,-2.4,8.64442E+11
37350,성도이엔지,KOSDAQ,일반서비스,4670,-15,-0.32,72244900000
458650,성우,KOSDAQ,전기·전자,13530,-60,-0.44,2.03568E+11
81580,성우전자,KOSDAQ,전기·전자,2785,60,2.2,43190178255
45300,성우테크론,KOSDAQ,전기·전자,3130,-5,-0.16,32387252450
15750,성우하이텍,KOSDAQ,운송장비·부품,5900,-10,-0.17,4.72E+11
365340,성일하이텍,KOSDAQ,화학,39450,100,0.25,4.81085E+11
80470,성창오토텍,KOSDAQ,운송장비·부품,4375,30,0.69,31937500000
43260,성호전자,KOSDAQ,전기·전자,1080,15,1.41,76596648840
148150,세경하이테크,KOSDAQ,전기·전자,6340,-150,-2.31,2.27355E+11
188260,세니젠,KOSDAQ,기타제조,2530,5,0.2,18288029100
53060,세동,KOSDAQ,운송장비·부품,1318,-1,-0.08,23272478242
340440,세림B&G,KOSDAQ,화학,1770,-57,-3.12,50229704280
17510,세명전기,KOSDAQ,금속,9620,240,2.56,1.46667E+11
11560,세보엠이씨,KOSDAQ,건설,12170,90,0.75,1.2815E+11
396300,세아메카닉스,KOSDAQ,금속,3620,-65,-1.76,95891990000
100700,세운메디칼,KOSDAQ,제약,2765,-50,-1.78,1.21107E+11
24830,세원물산,KOSDAQ,운송장비·부품,10820,40,0.37,90347000000
258830,세종메디칼,KOSDAQ,의료·정밀기기,412,0,0,22983976612
36630,세종텔레콤,KOSDAQ,건설,5180,10,0.19,1.036E+11
39310,세중,KOSDAQ,IT 서비스,1581,21,1.35,28650355527
67770,세진티에스,KOSDAQ,전기·전자,2330,-50,-2.1,19564061690
53450,세코닉스,KOSDAQ,의료·정밀기기,6000,50,0.84,88756818000
222810,세토피아,KOSDAQ,금속,5400,0,0,81712098000
252500,세화피앤씨,KOSDAQ,화학,858,-5,-0.58,35595322620
321370,센서뷰,KOSDAQ,전기·전자,1242,-9,-0.72,53650170990
347000,센코,KOSDAQ,의료·정밀기기,2410,5,0.21,79541992160
331920,셀레믹스,KOSDAQ,제약,3160,-20,-0.63,25798707680
352770,셀레스트라,KOSDAQ,일반서비스,5250,0,0,13610136750
471820,셀로맥스사이언스,KOSDAQ,음식료·담배,5600,-50,-0.88,65206842400
49180,셀루메드,KOSDAQ,제약,885,-7,-0.78,48637000755
299660,셀리드,KOSDAQ,일반서비스,4245,250,6.26,1.2524E+11
108860,셀바스AI,KOSDAQ,IT 서비스,13240,-150,-1.12,3.56352E+11
208370,셀바스헬스케어,KOSDAQ,의료·정밀기기,4200,50,1.2,1.0811E+11
318160,셀바이오휴먼텍,KOSDAQ,섬유·의류,7130,180,2.59,66030224130
308430,셀비온,KOSDAQ,제약,24250,-150,-0.61,3.10794E+11
68760,셀트리온제약,KOSDAQ,제약,52900,-100,-0.19,2.3106E+12
68940,셀피글로벌,KOSDAQ,전기·전자,778,0,0,35720093048
7720,소노스퀘어,KOSDAQ,유통,898,9,1.01,90518804100
60230,소니드,KOSDAQ,화학,438,-4,-0.9,32306561574
290690,소룩스,KOSDAQ,전기·전자,5790,-150,-2.53,2.82206E+11
950200,소마젠,KOSDAQ,일반서비스,3755,-55,-1.44,72231379015
32680,소프트센,KOSDAQ,IT 서비스,333,-1,-0.3,35161724412
32685,소프트센우,KOSDAQ,IT 서비스,7240,-40,-0.55,2585708080
258790,소프트캠프,KOSDAQ,IT 서비스,999,-23,-2.25,24966292716
66910,손오공,KOSDAQ,유통,899,-20,-2.18,60172914436
215090,솔디펜스,KOSDAQ,의료·정밀기기,827,-5,-0.6,95748658235
35610,솔본,KOSDAQ,일반서비스,4145,15,0.36,1.13349E+11
357780,솔브레인,KOSDAQ,화학,231000,-2500,-1.07,1.79685E+12
36830,솔브레인홀딩스,KOSDAQ,일반서비스,44950,50,0.11,9.42334E+11
304100,솔트룩스,KOSDAQ,IT 서비스,31750,-550,-1.7,3.85209E+11
328380,솔트웨어,KOSDAQ,IT 서비스,1053,-16,-1.5,36078705234
86980,쇼박스,KOSDAQ,오락·문화,2770,-5,-0.18,1.73507E+11
50960,수산아이앤티,KOSDAQ,IT 서비스,10810,10,0.09,72978310000
84180,수성웹툰,KOSDAQ,기계·장비,5160,165,3.3,93263300280
253840,수젠텍,KOSDAQ,제약,7450,480,6.89,1.24737E+11
298830,슈어소프트테크,KOSDAQ,IT 서비스,4990,-20,-0.4,2.62569E+11
236200,슈프리마,KOSDAQ,전기·전자,33700,500,1.51,2.4457E+11
94840,슈프리마에이치큐,KOSDAQ,전기·전자,7120,-100,-1.39,74559500800
192440,슈피겐코리아,KOSDAQ,기타제조,26500,-600,-2.21,1.64734E+11
424960,스마트레이더시스템,KOSDAQ,의료·정밀기기,8350,-140,-1.65,1.30906E+11
99440,스맥,KOSDAQ,기계·장비,3505,-55,-1.54,2.39193E+11
276040,스코넥,KOSDAQ,IT 서비스,1969,-10,-0.51,25262929615
60240,스타코링크,KOSDAQ,운송장비·부품,1976,0,0,6385281968
115570,스타플렉스,KOSDAQ,화학,3185,10,0.31,25430657980
330730,스톤브릿지벤처스,KOSDAQ,금융,4550,55,1.22,82586276500
352090,스톰테크,KOSDAQ,화학,3965,40,1.02,1.06551E+11
253450,스튜디오드래곤,KOSDAQ,오락·문화,49000,2350,5.04,1.47287E+12
408900,스튜디오미르,KOSDAQ,오락·문화,4750,205,4.51,1.55465E+11
204630,스튜디오산타클로스,KOSDAQ,오락·문화,4650,0,0,23668225650
415380,스튜디오삼익,KOSDAQ,유통,9080,270,3.06,36816040400
13810,스페코,KOSDAQ,기계·장비,3035,0,0,44479351450
347700,스피어,KOSDAQ,IT 서비스,12330,110,0.9,4.83686E+11
49830,승일,KOSDAQ,금속,8860,-100,-1.12,54330512320
20710,시공테크,KOSDAQ,일반서비스,3935,30,0.77,78888761950
33170,시그네틱스,KOSDAQ,전기·전자,637,3,0.47,54608939203
48870,시너지이노베이션,KOSDAQ,의료·정밀기기,2895,60,2.12,2.55059E+11
25320,시노펙스,KOSDAQ,전기·전자,6910,-160,-2.26,6.06184E+11
340810,시선AI,KOSDAQ,IT 서비스,3860,-15,-0.39,50010476520
269620,시스웍,KOSDAQ,의료·정밀기기,889,0,0,1.3209E+11
56090,시지메드텍,KOSDAQ,의료·정밀기기,1034,-3,-0.29,1.0677E+11
429270,시지트로닉스,KOSDAQ,전기·전자,5950,-190,-3.09,27715992500
418250,시큐레터,KOSDAQ,IT 서비스,6550,0,0,45439033350
131090,시큐브,KOSDAQ,IT 서비스,4170,-30,-0.71,33360000000
290520,신도기연,KOSDAQ,기계·장비,1677,-4,-0.24,26713540074
1000,신라섬유,KOSDAQ,부동산,1855,24,1.31,45034836700
25870,신라에스지,KOSDAQ,유통,5730,-50,-0.87,22920000000
215600,신라젠,KOSDAQ,일반서비스,2965,-15,-0.5,4.09555E+11
65350,신성델타테크,KOSDAQ,전기·전자,66600,-700,-1.04,1.83043E+12
416180,신성에스티,KOSDAQ,운송장비·부품,44400,-800,-1.77,4.01366E+11
162300,신스틸,KOSDAQ,금속,2220,15,0.68,92066468040
290560,신시웨이,KOSDAQ,IT 서비스,6830,-40,-0.58,25456243260
2800,신신제약,KOSDAQ,제약,5630,-30,-0.53,85409915000
472220,신영스팩10호,KOSDAQ,금융,2180,5,0.23,10224200000
430220,신영스팩8호,KOSDAQ,금융,2255,0,0,15243800000
17000,신원종합개발,KOSDAQ,건설,2655,15,0.57,30978611685
12790,신일제약,KOSDAQ,제약,6580,30,0.46,78870610700
138070,신진에스엠,KOSDAQ,금속,2380,10,0.42,41657625520
226330,신테카바이오,KOSDAQ,IT 서비스,6200,-40,-0.64,94602545000
452980,신한제11호스팩,KOSDAQ,금융,2040,0,0,38566200000
474660,신한제12호스팩,KOSDAQ,금융,2085,0,0,11509200000
474930,신한제13호스팩,KOSDAQ,금융,2130,-5,-0.23,7710600000
487360,신한제14호스팩,KOSDAQ,금융,2010,-10,-0.5,11336400000
487830,신한제15호스팩,KOSDAQ,금융,2030,0,0,8830500000
496070,신한제16호스팩,KOSDAQ,금융,2010,0,0,11296200000
56700,신화인터텍,KOSDAQ,화학,1915,27,1.43,55793699265
187270,신화콘텍,KOSDAQ,전기·전자,3590,30,0.84,36416403550
243840,신흥에스이씨,KOSDAQ,전기·전자,4870,0,0,1.87779E+11
257720,실리콘투,KOSDAQ,유통,53700,1300,2.48,3.28493E+12
222800,심텍,KOSDAQ,전기·전자,27850,4250,18.01,8.9134E+11
36710,심텍홀딩스,KOSDAQ,일반서비스,1637,65,4.13,81103812838
444530,심플랫폼,KOSDAQ,IT 서비스,10800,-370,-3.31,69011168400
234030,싸이닉솔루션,KOSDAQ,전기·전자,8480,-90,-1.05,2.0017E+11
160980,싸이맥스,KOSDAQ,기계·장비,12360,390,3.26,1.35024E+11
356890,싸이버원,KOSDAQ,IT 서비스,3255,20,0.62,38909700375
217330,싸이토젠,KOSDAQ,일반서비스,2750,15,0.55,63606254250
208640,썸에이지,KOSDAQ,IT 서비스,559,129,30,77835301986
222420,쎄노텍,KOSDAQ,비금속,825,-10,-1.2,37504690575
37760,쎄니트,KOSDAQ,금속,1725,5,0.29,58361788725
81180,쎄크,KOSDAQ,기계·장비,9060,-90,-0.98,79959347100
99320,쎄트렉아이,KOSDAQ,운송장비·부품,49500,-1800,-3.51,5.42088E+11
49960,쎌바이오텍,KOSDAQ,제약,13140,-10,-0.08,1.23516E+11
88280,쏘닉스,KOSDAQ,전기·전자,2340,5,0.21,40497186600
50890,쏠리드,KOSDAQ,전기·전자,6480,-50,-0.77,3.95897E+11
394800,쓰리빌리언,KOSDAQ,일반서비스,6320,-30,-0.47,2.0048E+11
177900,쓰리에이로직스,KOSDAQ,전기·전자,7320,190,2.66,69970416000
475400,씨메스,KOSDAQ,기계·장비,21850,-50,-0.23,2.55313E+11
109670,씨싸이트,KOSDAQ,섬유·의류,7460,50,0.67,43541050920
66790,씨씨에스,KOSDAQ,오락·문화,1493,0,0,97271994227
222080,씨아이에스,KOSDAQ,기계·장비,7700,-30,-0.39,5.95763E+11
352480,씨앤씨인터내셔널,KOSDAQ,화학,41700,-1600,-3.7,4.17581E+11
264660,씨앤지하이테크,KOSDAQ,기계·장비,12470,-30,-0.24,1.21223E+11
352700,씨앤투스,KOSDAQ,화학,2740,20,0.74,71998703260
458870,씨어스테크놀로지,KOSDAQ,의료·정밀기기,33500,1250,3.88,4.21794E+11
297090,씨에스베어링,KOSDAQ,기계·장비,7090,40,0.57,1.93344E+11
900120,씨엑스아이,KOSDAQ,금융,630,-2,-0.32,18936403920
359090,씨엔알리서치,KOSDAQ,일반서비스,1030,-1,-0.1,58427667730
115530,씨엔플러스,KOSDAQ,전기·전자,471,-1,-0.21,32010573000
115480,씨유메디칼,KOSDAQ,의료·정밀기기,597,5,0.84,36192861126
376290,씨유테크,KOSDAQ,전기·전자,3315,60,1.84,58534612500
189330,씨이랩,KOSDAQ,IT 서비스,6470,-250,-3.72,39417077480
96530,씨젠,KOSDAQ,제약,30050,50,0.17,1.56939E+12
101240,씨큐브,KOSDAQ,화학,4340,55,1.28,46062846060
60590,씨티씨바이오,KOSDAQ,제약,6200,30,0.49,1.49922E+11
260930,씨티케이,KOSDAQ,화학,5520,-240,-4.17,1.06766E+11
413630,씨피시스템,KOSDAQ,화학,1769,63,3.69,64456391394
13990,아가방컴퍼니,KOSDAQ,유통,5280,-90,-1.68,1.73646E+11
123860,아나패스,KOSDAQ,전기·전자,18770,430,2.34,2.27556E+11
25980,아난티,KOSDAQ,일반서비스,10030,40,0.4,8.88954E+11
125210,아모그린텍,KOSDAQ,전기·전자,7000,40,0.57,1.15478E+11
357580,아모센스,KOSDAQ,전기·전자,6890,50,0.73,77307618960
52710,아모텍,KOSDAQ,전기·전자,11170,30,0.27,1.63251E+11
74430,아미노로직스,KOSDAQ,제약,1125,16,1.44,98805199500
92040,아미코젠,KOSDAQ,음식료·담배,4005,-40,-0.99,2.20348E+11
83930,아바코,KOSDAQ,기계·장비,13230,-270,-2,1.9418E+11
149950,아바텍,KOSDAQ,전기·전자,8310,130,1.59,1.29698E+11
36010,아비코전자,KOSDAQ,전기·전자,6060,90,1.51,80555180040
50860,아세아텍,KOSDAQ,기계·장비,2170,20,0.93,48825000000
136410,아셈스,KOSDAQ,화학,10720,130,1.23,1.18125E+11
246720,아스타,KOSDAQ,제약,5710,-100,-1.72,81775765000
450950,아스테라시스,KOSDAQ,의료·정밀기기,10260,-10,-0.1,3.76487E+11
67390,아스트,KOSDAQ,운송장비·부품,637,-12,-1.85,2.51715E+11
159010,아스플로,KOSDAQ,기계·장비,3525,15,0.43,47004954975
127710,아시아경제,KOSDAQ,IT 서비스,1088,-13,-1.18,37975641216
154030,아시아종묘,KOSDAQ,"농업, 임업 및 어업",2305,5,0.22,27802603435
227610,아우딘퓨쳐스,KOSDAQ,화학,1122,-10,-0.88,39924739734
331740,아우토크립트,KOSDAQ,IT 서비스,19400,-600,-3,1.86805E+11
143160,아이디스,KOSDAQ,전기·전자,17300,160,0.93,1.85394E+11
54800,아이디스홀딩스,KOSDAQ,일반서비스,11780,180,1.55,1.21897E+11
332370,아이디피,KOSDAQ,전기·전자,4750,0,0,63050198500
66430,아이로보틱스,KOSDAQ,유통,1554,34,2.24,60844501704
339950,아이비김영,KOSDAQ,일반서비스,2015,0,0,90567509825
469750,아이비젼웍스,KOSDAQ,기계·장비,991,0,0,33631052671
460470,아이빔테크놀로지,KOSDAQ,의료·정밀기기,3400,-30,-0.87,51329358000
99190,아이센스,KOSDAQ,의료·정밀기기,18070,10,0.06,4.98496E+11
461300,아이스크림미디어,KOSDAQ,IT 서비스,21100,-550,-2.54,2.78033E+11
289010,아이스크림에듀,KOSDAQ,오락·문화,1833,-7,-0.38,25561654248
214430,아이쓰리시스템,KOSDAQ,전기·전자,100500,-9300,-8.47,7.14229E+11
40910,아이씨디,KOSDAQ,기계·장비,3750,90,2.46,69653531250
368600,아이씨에이치,KOSDAQ,전기·전자,2610,-35,-1.32,45775083060
456010,아이씨티케이,KOSDAQ,전기·전자,12040,-70,-0.58,1.61585E+11
52860,아이앤씨,KOSDAQ,전기·전자,2085,-10,-0.48,37244050590
464500,아이언디바이스,KOSDAQ,전기·전자,3215,90,2.88,44891890545
212710,아이에스티이,KOSDAQ,전기·전자,11090,920,9.05,1.02976E+11
38880,아이에이,KOSDAQ,전기·전자,256,-8,-3.03,96184620800
307180,아이엘,KOSDAQ,전기·전자,2620,30,1.16,74572077500
101390,아이엠,KOSDAQ,전기·전자,396,0,0,5140810224
461030,아이엠비디엑스,KOSDAQ,일반서비스,7700,-40,-0.52,1.07937E+11
451220,아이엠티,KOSDAQ,기계·장비,10100,80,0.8,79533571100
90150,아이윈,KOSDAQ,운송장비·부품,741,-1,-0.13,31029592113
123010,아이윈플러스,KOSDAQ,전기·전자,987,-15,-1.5,32233980954
31310,아이즈비전,KOSDAQ,통신,1597,-16,-0.99,42089003671
462980,아이지넷,KOSDAQ,IT 서비스,2625,20,0.77,47865397125
185490,아이진,KOSDAQ,일반서비스,3300,125,3.94,89198287200
59100,아이컴포넌트,KOSDAQ,전기·전자,5100,30,0.59,36061386000
262840,아이퀘스트,KOSDAQ,IT 서비스,2250,-15,-0.66,47551286250
175250,아이큐어,KOSDAQ,제약,2170,0,0,81501658560
52460,아이크래프트,KOSDAQ,IT 서비스,3255,75,2.36,47548831680
119830,아이텍,KOSDAQ,일반서비스,6200,30,0.49,1.37129E+11
52770,아이톡시,KOSDAQ,IT 서비스,884,-11,-1.23,51237200456
124500,아이티센글로벌,KOSDAQ,IT 서비스,17050,-110,-0.64,3.95637E+11
10280,아이티센엔텍,KOSDAQ,IT 서비스,998,-2,-0.2,64993538428
232830,아이티센피엔에스,KOSDAQ,IT 서비스,2340,-10,-0.43,27395484480
372800,아이티아이즈,KOSDAQ,IT 서비스,6550,-110,-1.65,39607784500
84850,아이티엠반도체,KOSDAQ,전기·전자,14620,100,0.69,3.31624E+11
309710,아이티켐,KOSDAQ,제약,28750,-2300,-7.41,3.61761E+11
114840,아이패밀리에스씨,KOSDAQ,화학,17660,370,2.14,3.05869E+11
27360,아주IB투자,KOSDAQ,금융,2265,-5,-0.22,2.73941E+11
32080,아즈텍WB,KOSDAQ,섬유·의류,1368,23,1.71,29399727672
13310,아진산업,KOSDAQ,운송장비·부품,2795,20,0.72,1.08464E+11
59120,아진엑스텍,KOSDAQ,전기·전자,6590,50,0.76,64243247640
203690,아크솔루션스,KOSDAQ,종이·목재,4425,0,0,76921522875
158430,아톤,KOSDAQ,IT 서비스,8270,-120,-1.43,2.05514E+11
200350,아티스트스튜디오,KOSDAQ,오락·문화,9560,-140,-1.44,95561999000
321820,아티스트컴퍼니,KOSDAQ,IT 서비스,6230,-70,-1.11,97134272480
1540,안국약품,KOSDAQ,제약,7770,-20,-0.26,1.0134E+11
53800,안랩,KOSDAQ,IT 서비스,63800,-800,-1.24,7.09871E+11
65660,안트로젠,KOSDAQ,유통,24700,-700,-2.76,2.47151E+11
297570,알로이스,KOSDAQ,전기·전자,845,3,0.36,29254929210
260660,알리코제약,KOSDAQ,제약,4505,20,0.45,69048229605
354320,알멕,KOSDAQ,금속,23750,-150,-0.63,1.51795E+11
361570,알비더블유,KOSDAQ,오락·문화,2190,75,3.55,62947807290
131370,알서포트,KOSDAQ,IT 서비스,3000,-5,-0.17,1.59801E+11
140670,알에스오토메이션,KOSDAQ,전기·전자,15220,-20,-0.13,1.41594E+11
96610,알에프세미,KOSDAQ,전기·전자,2965,0,0,51550708615
61040,알에프텍,KOSDAQ,전기·전자,2355,-45,-1.88,75570204945
148250,알엔투테크놀로지,KOSDAQ,전기·전자,7270,1410,24.06,68677305440
347860,알체라,KOSDAQ,IT 서비스,2790,0,0,1.08004E+11
